poet_id,nom_canonique,nom_famille,nom_variantes,holdouts,anth_Buk_Vang_1972,streets_inside_1978,poetry_loves_poetry_1985,invocation_LA_1989,grand_passion_1995,stand_up_1990,stand_up_2002,leimert_park_2006,wide_awake_2015,cross_strokes_2015,coiled_serpent_2016,leimert_park_redux_2017,workshop_beyond_baroque_2018,lapl_list,laureat,mohr_blog_absents
61,Joan La Bombard,Bombard,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
62,Jennifer Bowen,Bowen,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
63,Sue Abbott Boyd,Boyd,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
64,Bruce Boyd,Boyd,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1
65,John Brander,Brander,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
66,John Brantingham,Brantingham,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
67,Kate Braverman,Braverman,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,1
68,Lynne Bronstein,Bronstein,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
69,F. Douglas Brown,Brown,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0
70,Derek D. Brown,Brown,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
71,Stephanie Brown,Brown,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
72,Jeffrey Bryant,Bryant,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
73,Shonda Buchanan,Buchanan,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
74,Christopher Buckley,Buckley,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
75,Ruthie Buell,Buell,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
76,Charles Bukowski,Bukowski,,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,,1
77,Billy Burgos,Burgos,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
