poet_id,nom_canonique,nom_famille,nom_variantes,holdouts,anth_Buk_Vang_1972,streets_inside_1978,poetry_loves_poetry_1985,invocation_LA_1989,grand_passion_1995,stand_up_1990,stand_up_2002,leimert_park_2006,wide_awake_2015,cross_strokes_2015,coiled_serpent_2016,leimert_park_redux_2017,workshop_beyond_baroque_2018,lapl_list,laureat,mohr_blog_absents,score_canon_local
1,Steve Abee,Abee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2
2,Harold Abramowitz,Abramowitz,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
3,Ricardo Lira Acuna,Acuna,Ricardo Lira Acuña,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
4,Thomas Adams,Adams,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
5,Mikael Ahadou,Ahadou,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1
6,Christine Choi Ahmed,Ahmed,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1
7,Tanzila Ahmed,Ahmed,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
8,Josephine Ain,Ain,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
9,Riua Akinshegun,Akinshegun,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1
10,Linda Albertano,Albertano,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,4
11,Nelson Alburquenque,Alburquenque,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
12,Robert Alexander,Alexander,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
13,Will Alexander,Alexander,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,4
14,Luis Alfaro,Alfaro,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
15,Paula Gunn Allen,Allen,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
16,Blair H. Allen,Allen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
17,Rosie Angelica Alonso,Alonso,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
18,Rafael F J Alvarado,Alvarado,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2
19,Li Yun Alvarado,Alvarado,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
20,Karina Oliva Alvarado,Alvarado,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
21,Melissa F. Alvarado,Alvarado,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
22,Gloria Alvarez,Alvarez,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,1
23,Dave Alvin,Alvin,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,2
24,Ameen Alwan,Alwan,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
25,E. Amato,Amato,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2
26,Iris De Anda,Anda,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1
27,Michael Andrews,Andrews,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
28,Ralph Angel,Angel,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
29,William Archila,Archila,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,,0,4
30,RD Armstrong,Armstrong,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1
