poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner
139,Jose Hernandez Diaz,[2020],[2020],[],[]
140,Nia Malika Dixon,[],[],[],[]
141,Peggy Dobreer,[],[],[],[]
142,John Doe,[],[],[],[]
143,Dennis Dorney,[],[],[],[]
144,Sharon Doubiago,[],[1983],[1993],[]
145,Linda Dove,[2005],[],[],[]
146,Kim Dower,[],[],[],[]
147,Sharif Dumani,[],[],[],[]
148,Jawanza Dumisani,[],[],[],[]
149,Steve Effingham,[],[],[],[]
150,Susan Efros,[],[],[],[]
151,Christian Elder,[],[],[],[]
152,Dennis Ellman,[],[],[],[]
153,Seth Elpenor,[],[],[],[]
154,Francisco Escamilla,[],[],[],[]
155,Clayton Eshleman,"[1964, 1965, 1966, 1967, 1968, 1969, 1971, 1981]","[1974, 1984, 2005, 2006, 2007, 2008]",[1994],[1965]
156,Frances Salome Espana,[],[],[],[]
157,Yvonne M. Estrada,[],[],[],[]
158,Carrie Etter,[],[],[],[]
159,Eric Eztli,[],[],[],[]
160,Jenny Factor,[2003],[],[],"[2000, 2001, 2003, 2010]"
161,B.H. Fairchild,[],[],[],[]
162,Alexis Rhone Fancher,[],[],[],[]
163,Maria Fattorini,[],[],[],[]
164,Rich Ferguson,[],[],[],[]
165,Edward Field,"[1961, 1967, 1968, 1974, 1979]","[1974, 1991]","[1951, 1968, 1969, 1984, 1994]","[1964, 1968]"
166,Jamie Asaye Fitzgerald,[],[2016],[],[]
167,Mary Fitzpatrick,[],[],[],[]
168,Bob Flanagan,[],[],[],[]
169,Angela Rose Flores,[],[],[],[]
170,Charles Flowers,[],[],[],[]
171,Michael C. Ford,[],[],[],[]
172,Ruth Forman,[],[],[1994],[]
173,Simone Forti,[],[],[],[]
174,Charles Foster,[],[],[],[]
175,Sesshu Foster,[],[],[1995],[]
176,Mariana Franco,[],[],[],[]
177,Amelie Frank,[],[],[],[]
178,Angela M. Franklin,[],[],[],[]
179,Elliot Fried,[],[],[],[]
180,Gene Frumkin,"[1959, 1960, 1962, 1964, 1968, 1971]",[],[],[1979]
181,George Fuller,[],[],[],[]
182,Sol Funerol,[],[],[],[]
183,Kate Gale,[],[],[],[]
184,Lucia Galloway,[],[],[],[]
185,Manazar Gamboa,[],[],[],[]
186,Ramon Garcia,[],[],[],[]
187,Jerry Garcia,[],[],[],[]
188,Richard Garcia,[2017],[],[1991],[1994]
189,Nicolai Garcia,[],[],[],[]
190,Margaret Elysia Garcia,[],[],[],[]
191,Frank X. Gaspar,[],[2014],"[1990, 1999, 2001, 2011]","[1999, 2002, 2009, 2019]"
192,Marisa Urrutia Gedney,[],[],[],[]
193,Emma Gee,[],[],[],[]
194,Amy Gerstler,[2013],"[1991, 1993, 1996, 1997]",[1998],[]
195,Marsha Getzler,[],[],[],[]
196,Dana Gioia,"[1982, 1983, 1985, 1986, 1987, 1989, 2002, 2004, 2005, 2006]","[1996, 2011]",[1983],"[1985, 1986, 1987]"
197,Steve Goldman,[],[],[],[]
198,Guillermo Gomez-Pena,[],[],[],[]
199,Liz Gonzalez,[],[],[],[]
200,William A. Gonzalez,[],[],[],[]
201,Jessica Goodheart,[],[],[],[]
202,Don Gordon,"[1953, 1954, 1955]",[],[],[]
203,Amanda Gorman,[],[],[],[]
204,Gerda Govine,[],[],[],[]
205,Natalie J. Graham,[],[],[],[]
206,Jack Grapes,[],[],[],[]
207,Pamela Gray,[],[],[],[]
208,Dorothy Randall Gray,[],[],[],[]
209,Janet Gray,[],[],[],[]
210,Timothy Green,[],[],[],[]
211,Sonia Greenfield,[],[],[],[]
212,Robert Greenfield,[],[],[],[]
213,Ian Gregson,[],[],[],[]
214,Robert Gribbin,[],[],[],[]
215,S.A. Griffin,[],[],[],[]
216,Gronk,[],[],[],[]
217,Charles Gullans,"[1963, 1974, 1978]",[],[],[]
218,Joseph Hansen,[],[],[],[]
219,John Harris,[],[],[],[]
220,Peter J. Harris,[],[],[],[]
221,Hazel Clayton Harrison,[],[],[],[]
222,Nathan Hassall,[],[],[],[]
223,Levan Hawkins,[],[],[],[]
224,Eloise Klein Healy,[],[],[],"[2002, 2007]"
225,Kevin James Hearle,[],[],[],[]
226,Leslie Woolf Hedley,[1962],[],[],[1962]
227,George Herms,[],[],[],[]
228,David Hernandez,[2016],[],[2008],"[2002, 2005, 2007]"
229,Judith Hernandez,[],[],[],[]
230,Gustavo Hernandez,[],[],[],[]
231,Adolfo Y. Hernandez,[],[],[],[]
232,Raul Herrera,[],[],[],[]
233,Juan Felipe Herrera,[2016],"[1985, 1991, 1992, 1995]",[],[]
234,Leland Hickman,[],[],[],[]
235,Bill Hickok,[],[],[],[]
236,Billy Higgins,[],[],[],[]
237,Regina Higgins,[],[],[],[]
238,William Ryan Hilary,[],[],[],[]
239,Yuri Hinson,[],[],[],[]
240,Jack Hirschman,"[1963, 1965, 1968]","[2003, 2005, 2008]",[],"[1957, 1963]"
241,Marlene Hitt,[],[],[],[]
242,Jen Hofer,[],[],[],[]
243,Alexandra Hohmann,[],[],[],[]
244,Karen Holden,[],[],[],[]
245,Harmony Holiday,"[2019, 2020]",[],[],[]
246,Jamal Holmes,[],[],[],[]
247,Tanya Ko Hong,[],[],[],[]
248,Walter Hopps,[],[],[],[]
249,Coy Howard,[],[],[],[]
250,Eric Howard,[],[],[],[]
251,Dorothy B. Hughes,[],[],[],[]
252,Nan Hunt,[],[],[],[]
253,Terry Hunter,[],[],[],[]
254,Boris Salvador Ingles,[],[],[],[]
255,Charlotte Innes,[],[],[],[]
256,Eileen Aaronson Ireland,[],[],[],[]
257,William Iwamoto,[],[],[],[]
258,Wendy James,[],[],[],[]
259,David James,[],[],[],[]
260,Paul Jarrico,[],[],[],[]
261,David St. John,"[1977, 1978, 1979, 1981, 1983, 1984, 1986, 1987, 1995, 2001, 2002, 2003]","[1976, 1984, 1985, 1991, 1994, 1998]","[1997, 1999, 2009, 2012, 2017, 2020, 2021]","[1982, 2022]"
262,James Evert Jones,[],[],[],[]
263,Lois P. Jones,[],[],[],[]
264,Harry Gamboa Jr.,[],[],[],[]
265,Grover Jacoby Jr.,[],[],[],[]
266,Traci Kato-Kiriyama,[],[],[],[]
267,Douglas Kearney,"[2019, 2020]",[],[],[]
268,Hanson Kellogg,[1950],[],[],[]
269,Karen Kevorkian,[],[],[],[]
270,Ed Kienholz,[],[],[],[]
271,Stanley Kiesel,[],[1974],[],[]
272,Chungmi Kim,[],[],[],[]
273,Susan King,[],[],[],[]
274,Linda King,[],[],[],[]
275,Robert Kirsch,[],[],[],[]
276,Jonathan Kirsch,[],[],[],[]
277,Kaaren Kitchell,[],[],[],[]
278,Doug Knott,[],[],[],[]
279,Ron Koertge,[],[],[],[]
280,Steve Kowit,[],[],[],[]
281,Ian Krieger,[],[],[],[]
282,Nancy Krusoe,[],[],[],[]
283,James Krusoe,[],[1988],[],[]
284,Harvey Kubernik,[],[],[],[]
285,Suzanne Lacy,[],[],[],[]
286,Maurice Lacy,[],[],[],[]
287,Tom Laichas,[],[],[],[]
288,Michael Lally,[],[],[],[]
289,Frona Lane,[],[],[],[]
290,Haley Laningham,[],[],[],[]
291,Carlos Lara,[],[],[],[]
292,Teka Lark,[],[],[],[]
293,Carl Larsen,[],[],[],[]
294,Christine Larusso,[],[],[],[]
295,Anthony A. Lee,[],[],[],[]
296,Janice Lee,[],[],[],[]
297,Julayne Lee,[],[],[],[]
298,Carol Lem,[],[],[],[]
299,Lester Lennon,[],[],[],[]
300,Russell Leong,[],[],[1995],[]
302,Peter Levitt,[],[],[],[]
303,Carol Lewis,[],[],[],[]
304,Robin Coste Lewis,[],[],[],[]
305,Kimberly Lieu,[],[],[],[]
306,Martha Lifson,[],[],[],[]
307,Mark Lipman,[],[],[],[]
308,Lawrence Lipton,"[1955, 1956, 1957]",[],[],[1963]
309,Kenji Liu,[],[],[],[]
310,Gerald Locklin,[],[],[],[1965]
311,Philomene Long,[],[],[],[]
312,Jaime Lopez,[],[],[],[]
313,Bia Lowe,[],[],"[1992, 1994, 2002]",[]
314,Josslyn Luckett,[],[],[],[]
315,Jason Luckett,[],[],[],[]
316,Eve Luckring,[],[],[],[]
317,Oshea Luja,[],[],[],[]
318,Melanie Luja,[],[],[],[]
319,Suzanne Lummis,[],[],[],[]
320,Rick Lupert,[],[],[],[]
321,K. Curtis Lyle,[],[],[],[]
322,Phoebe MacAdams,[],[],[],[]
323,Lewis MacAdams,[1972],[],[],[]
324,Sarah Maclay,[],[2006],[],[]
325,Robert Mader-Kammer,[],[],[],[]
326,Ruth Madievsky,[],[2022],[2019],"[2015, 2017]"
327,Mad Mike Magdalani,[],[],[],[]
328,Karineh Mahdessian,[],[],[],[]
329,Marvin Malone,[],[],[],[]
330,Barbara Maloutas,[],[],[],[]
331,Albert Maltz,[],[],[],[]
332,Nichola Manning,[],[],[],[]
333,Lynn Manning,[],[],[],[]
334,Douglas Manuel,[],[],[],[]
335,Ray Manzarek,[],[],[],[]
336,Ymasumac Maranon,[],[],[],[]
337,William Margolis,[],[],[],[]
338,Ruthie Marlene,[],[],[],[]
339,John Martin,[],[],[],[]
340,Jeffery Martin,[],[],[],[]
341,Ruben Martinez,[],[],[],[]
342,D Hideo Maruyama,[],[],[],[]
343,Keith Antar Mason,[],[],[],[]
344,Holaday Mason,[],[],[],[]
345,James Boyer May,[],[],[],[1958]
346,Anthony McCann,[],[],[],[1996]
347,Horace McCoy,[],[],[],[]
348,Ross McDonald,[],[],[],[]
349,Rhiannon McGavin,[],[],[],[]
350,Thomas McGrath,"[1949, 1955, 1963, 1967, 1971, 1988]","[1974, 1978, 1987, 1989]",[],[]
351,Carey McWilliams,[],[],[],[]
352,Deborah Meadows,[],[],[],[]
353,Murray Mednick,[],[],[],[]
354,Jose Mendivil,[],[],[],[]
355,Sequoia Olivia Mercier,[],[],[],[]
356,Douglas Messerli,[],[1984],[],[]
357,Deena Metzger,[],[],[],[]
358,Bert Meyers,[1962],[1974],[],[1962]
359,Robert Mezey,"[1957, 1958, 1961, 1962, 1966, 1970, 1971, 1978, 1991, 1992, 1993, 1994]","[1985, 1994, 1996]","[1954, 1957, 1992]",[]
360,Rondo Mieczkowski,[],[],[],[]
361,Elena Minor,[],[],[],[]
362,Rhonda Lynn Mitchell,[],[],[],[]
363,Penelope Moffet,[],[],[],[]
364,Bill Mohr,[],[],[],[]
365,Alejandro Molina,[],[],[],[]
366,Thea Monyee,[],[],[],[]
367,Cher'rie Moraga,[],[],[],[]
368,James Ryan Morris,[],[],[],[]
369,Henry J. Morro,[],[],[],[]
370,Walter Moseley,[],[],[],[]
371,Sybil Mosely,[],[],[],[]
372,Suzanne Muchnic,[],[],[],[]
373,Judy Mudfoot,[],[],[],[]
374,Merilene M. Murphy,[],[],[],[]
375,Carol Muske-Dukes,"[2002, 2009]","[2003, 2005, 2008, 2017]","[2001, 2003, 2009, 2015, 2020]",[]
376,Majid Naficy,[],[],[],[]
377,Marty Nakel,[],[],[],[]
378,Jim Natal,[],[],[],[]
379,Mindy Nettifee,[],[],[],[]
380,Sasha Newborn,[],[],[],[]
381,Charley Newman,[],[],[],[]
382,Julia Newman,[],[],[],[]
383,Gail Newman,[],[],[],"[2016, 2019]"
384,Terri Niccum,[],[],[],[]
385,Alice Nicholas,[],[],[],[]
386,Ann Nietzsche,[],[],[],[]
387,Janet Nippell,[],[],[],[]
388,Art Nixon,[],[],[],[]
389,Victor Noel,[],[],[],[]
390,Marisela Norte,[],[],[],[]
391,Harry Northup,[],[],[],[]
392,Estelle Gershgoren Novak,[],[],[],[]
393,V. Kali Nurigan,[],[],[],[]
394,Marsha De la O,[],[],[2018],[2018]
395,Jamie O'Halloran,[],[],[],[1998]
396,William Oandasan,[],[],[],[]
397,Akilah Nayo Oliver,[],[],[],[]
398,Wendy C. Ortiz,[],[],[],[]
399,Martin Ott,[],[],[],[2009]
400,Rosella Pace,[],[],[],[]
401,Javier Pacheco,[],[],[],[]
402,Judith Pacht,[],[],[],[]
403,Nancy Padron,[],[],[],[]
404,Melinda Palacio,[],[],[],[]
405,Rae Paris,[],[],[],[]
406,Morgan Parker,"[2015, 2017]",[],[],[]
407,T. Jefferson Parker,[],[],[],[]
408,Blanche Paul,[],[],[],[]
409,Sherman Pearl,[],[],[],[]
410,Marlene Pearson,[],[],[],[]
411,Candace Pearson,[],[],[],[]
412,Gerda Penfold,[],[],[],[]
413,Cece Peri,[],[],[],[]
414,Suzan Perkoff,[],[],[],[]
415,Stuart Z. Perkoff,[],[],[],[]
416,Alice Pero,[],[],[],[]
