poet_id,nom_canonique,score_canon_local,score_national_presence,categorie
263,Lois P. Jones,3,0,peripherie
266,Traci Kato-Kiriyama,3,0,peripherie
269,Karen Kevorkian,3,0,peripherie
278,Doug Knott,3,0,peripherie
302,Peter Levitt,3,0,peripherie
322,Phoebe MacAdams,3,0,peripherie
333,Lynn Manning,3,0,peripherie
343,Keith Antar Mason,3,0,peripherie
344,Holaday Mason,3,0,peripherie
357,Deena Metzger,3,0,peripherie
390,Marisela Norte,3,0,peripherie
402,Judith Pacht,3,0,peripherie
415,Stuart Z. Perkoff,3,0,peripherie
426,Eric Priestley,3,0,peripherie
434,Linda Ravenswood,3,0,peripherie
456,Aleida Rodriguez,3,0,peripherie
472,Beth Ruscio,3,0,peripherie
494,S. Pearl Sharp,3,0,peripherie
506,Joan Jobe Smith,3,0,peripherie
583,Florence Weinberger,3,0,peripherie
591,Conney D. Williams,3,0,peripherie
593,Bruce Williams,3,0,peripherie
597,Sholeh Wolpe,3,0,peripherie
1,Steve Abee,2,0,peripherie
18,Rafael F J Alvarado,2,0,peripherie
23,Dave Alvin,2,0,peripherie
25,E. Amato,2,0,peripherie
31,Mary Armstrong,2,0,peripherie
32,Diana Arterian,2,0,peripherie
34,Erika Ayon,2,0,peripherie
41,Richard Beban,2,0,peripherie
42,Marjorie Becker,2,0,peripherie
46,Max Benavidez,2,0,peripherie
48,Lin Benedek,2,0,peripherie
50,Dinah Berland,2,0,peripherie
55,Bridgette Bianca,2,0,peripherie
59,Charles Bivins,2,0,peripherie
64,Bruce Boyd,2,0,peripherie
83,Luis Campos,2,0,peripherie
90,Peter Cashorali,2,0,peripherie
97,Exene Cervenka,2,0,peripherie
102,Neeli Cherry,2,0,peripherie
110,Jeanette Clough,2,0,peripherie
112,Nan Cohen,2,0,peripherie
123,Robert Crosson,2,0,peripherie
125,Gil Cuadros,2,0,peripherie
142,John Doe,2,0,peripherie
148,Jawanza Dumisani,2,0,peripherie
157,Yvonne M. Estrada,2,0,peripherie
168,Bob Flanagan,2,0,peripherie
203,Amanda Gorman,2,0,peripherie
215,S.A. Griffin,2,0,peripherie
237,Regina Higgins,2,0,peripherie
242,Jen Hofer,2,0,peripherie
259,David James,2,0,peripherie
277,Kaaren Kitchell,2,0,peripherie
281,Ian Krieger,2,0,peripherie
294,Christine Larusso,2,0,peripherie
297,Julayne Lee,2,0,peripherie
298,Carol Lem,2,0,peripherie
299,Lester Lennon,2,0,peripherie
309,Kenji Liu,2,0,peripherie
316,Eve Luckring,2,0,peripherie
334,Douglas Manuel,2,0,peripherie
336,Ymasumac Maranon,2,0,peripherie
341,Ruben Martinez,2,0,peripherie
352,Deborah Meadows,2,0,peripherie
355,Sequoia Olivia Mercier,2,0,peripherie
374,Merilene M. Murphy,2,0,peripherie
376,Majid Naficy,2,0,peripherie
378,Jim Natal,2,0,peripherie
388,Art Nixon,2,0,peripherie
393,V. Kali Nurigan,2,0,peripherie
411,Candace Pearson,2,0,peripherie
416,Alice Pero,2,0,peripherie
418,Dennis Phillips,2,0,peripherie
454,Brooks Roddan,2,0,peripherie
470,Melissa Roxas,2,0,peripherie
482,Cathie Sandstrom,2,0,peripherie
484,Standard Schaeffer,2,0,peripherie
487,Peter Schneidre,2,0,peripherie
491,Matt Sedillo,2,0,peripherie
492,Anthony Seidman,2,0,peripherie
502,Romus Simpson,2,0,peripherie
503,Hiram Sims,2,0,peripherie
514,Donna Spruijt-Metz,2,0,peripherie
521,Charles Stetler,2,0,peripherie
525,Hannibal Tabu,2,0,peripherie
531,Jervey Tervalon,2,0,peripherie
535,Tanya S. Thamkruphat,2,0,peripherie
540,Imani Tolliver,2,0,peripherie
541,A.K. Toney,2,0,peripherie
542,Mary Torregrossa,2,0,peripherie
560,Rolland Vasin,2,0,peripherie
571,Marci Vogel,2,0,peripherie
577,Scott Wannberg,2,0,peripherie
579,Marine Robert Warden,2,0,peripherie
585,Hilda Weiss,2,0,peripherie
604,Brenda Yates,2,0,peripherie
609,Kim Young,2,0,peripherie
614,Rafael Zepeda,2,0,peripherie
616,Ed Smith,2,0,peripherie
2,Harold Abramowitz,1,0,peripherie
3,Ricardo Lira Acuna,1,0,peripherie
4,Thomas Adams,1,0,peripherie
5,Mikael Ahadou,1,0,peripherie
6,Christine Choi Ahmed,1,0,peripherie
7,Tanzila Ahmed,1,0,peripherie
9,Riua Akinshegun,1,0,peripherie
11,Nelson Alburquenque,1,0,peripherie
16,Blair H. Allen,1,0,peripherie
17,Rosie Angelica Alonso,1,0,peripherie
19,Li Yun Alvarado,1,0,peripherie
20,Karina Oliva Alvarado,1,0,peripherie
21,Melissa F. Alvarado,1,0,peripherie
22,Gloria Alvarez,1,0,peripherie
26,Iris De Anda,1,0,peripherie
30,RD Armstrong,1,0,peripherie
35,Danny Baker,1,0,peripherie
36,Dorothy Barnes,1,0,peripherie
39,Todd Baron,1,0,peripherie
49,Kim Benjamin,1,0,peripherie
53,Andres Bermejo,1,0,peripherie
56,Niki Billingslea,1,0,peripherie
62,Jennifer Bowen,1,0,peripherie
65,John Brander,1,0,peripherie
66,John Brantingham,1,0,peripherie
68,Lynne Bronstein,1,0,peripherie
70,Derek D. Brown,1,0,peripherie
72,Jeffrey Bryant,1,0,peripherie
73,Shonda Buchanan,1,0,peripherie
75,Ruthie Buell,1,0,peripherie
77,Billy Burgos,1,0,peripherie
80,Paul Calderon,1,0,peripherie
82,Don Kingfisher Campbell,1,0,peripherie
84,Jessica M. Wilson Cardenas,1,0,peripherie
88,Anaid Carreno,1,0,peripherie
89,Iliana Carter,1,0,peripherie
91,Fernando J. Castro,1,0,peripherie
92,Sue Caylor,1,0,peripherie
94,Adrian Ernesto Cepeda,1,0,peripherie
95,Angel Cerritos,1,0,peripherie
96,Alma Cervantes,1,0,peripherie
98,Robert Chambers,1,0,peripherie
100,Lisa Cheby,1,0,peripherie
104,Aileen Cho,1,0,peripherie
105,Gabreal Cho,1,0,peripherie
107,Marcus Clayton,1,0,peripherie
108,Odessa Cleveland,1,0,peripherie
111,Tricia Cochee,1,0,peripherie
113,Lori Cohen,1,0,peripherie
114,Mark Colasurdo,1,0,peripherie
116,Larry Colker,1,0,peripherie
124,Rafa Cruz,1,0,peripherie
126,Iliana Cuellar,1,0,peripherie
127,Yago S. Cura,1,0,peripherie
130,Doren Damico,1,0,peripherie
132,Michael Datcher,1,0,peripherie
136,Juan Delgado,1,0,peripherie
137,Seven Dhar,1,0,peripherie
138,David M. Diaz,1,0,peripherie
140,Nia Malika Dixon,1,0,peripherie
141,Peggy Dobreer,1,0,peripherie
143,Dennis Dorney,1,0,peripherie
147,Sharif Dumani,1,0,peripherie
149,Steve Effingham,1,0,peripherie
151,Christian Elder,1,0,peripherie
152,Dennis Ellman,1,0,peripherie
153,Seth Elpenor,1,0,peripherie
154,Francisco Escamilla,1,0,peripherie
156,Frances Salome Espana,1,0,peripherie
158,Carrie Etter,1,0,peripherie
159,Eric Eztli,1,0,peripherie
161,B.H. Fairchild,1,0,peripherie
163,Maria Fattorini,1,0,peripherie
164,Rich Ferguson,1,0,peripherie
167,Mary Fitzpatrick,1,0,peripherie
169,Angela Rose Flores,1,0,peripherie
176,Mariana Franco,1,0,peripherie
178,Angela M. Franklin,1,0,peripherie
