anthologie,SF_presents,SF_pct,LA_presents,LA_pct,general_anglophone
Norton Moderne & Contemporaine,6,50.0,0,0.0,False
Norton Anthology of Poetry (Gioia),4,33.333333333333336,1,0.16181229773462782,True
"Penguin (Dove, 2011)",2,16.666666666666668,4,0.6472491909385113,False
Best American Poetry (1988-2024),4,33.333333333333336,42,6.796116504854369,False
